All,Όλα
"Are you sure?","Είσαι σίγουρος;"
Remove,Αφαίρεση
"Messages Inbox","Εισερχόμενα μηνύματα"
"You have %1 new system messages","Έχετε %1 νέo(α) μήνυμα(τα) συστήματος"
"You have %1 new system message","Έχετε %1 νέο μήνυμα συστήματος"
"Incoming Message","Εισερχόμενο μήνυμα"
close,κλείσιμο
Notifications,Ειδοποιήσεις
"The message has been marked as Read.","Το μήνυμα αυτό έχει επισημανθεί ως αναγνωσμένο."
"We couldn't mark the notification as Read because of an error.","Δεν μπορέσαμε να επισημάνουμε την ειδοποίηση ως Αναγνωσμένη εξαιτίας ενός σφάλματος."
"Please select messages.","Παρακαλώ επιλέξτε μηνύματα."
"A total of %1 record(s) have been marked as Read.","Συνολικά %1 εγγραφή(ες) έχουν επισημανθεί ως Αναγνωσμένες."
"Total of %1 record(s) have been removed.","Σύνολικά %1 εγγραφή(ές) έχουν αφαιρεθεί."
"We couldn't remove the messages because of an error.","Δεν μπορέσαμε να αφαιρέσουμε τα μηνύματα εξαιτίας ενός σφάλματος."
"The message has been removed.","Το μήνυμα έχει αφαιρεθεί."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Έχετε δει και επιλύσει όλες τις πρόσφατες ειδοποιήσεις του συστήματος. Παρακαλώ ανανεώστε την ιστοσελίδα για να καταργήσετε την ειδοποίηση."
"1 Hour","1 ώρα"
"2 Hours","2 ώρες"
"6 Hours","6 ώρες"
"12 Hours","12 ώρες"
"24 Hours","24 ώρες"
critical,κρίσιμο
major,σημαντικό
minor,χαμηλή
notice,ανακοίνωση
"Wrong message type","Λάθος τύπος μηνύματος"
"Wrong notification ID specified.","Δόθηκε λάθος αναγνωριστικό ειδοποίησης."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} δεν συνιστάται να χρησιμοποιήσετε σε ένα περιβάλλον παραγωγής, για να δηλώσετε το μη ασφαλές Base URL / ασφαλές Base URL. Σας συνιστούμε την αλλαγή αυτής της τιμής στο Magento σας <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","Ένα ή περισσότερα από τα Είδη της Cache δεν είναι ενημερωμένα: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Παρακαλούμε πηγαίνετε στο <a href=""%1"">Διαχείριση Cache</a> και ανανεώστε τα είδη της cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Δεν ήμασταν σε θέση να συγχρονίσουμε ένα ή περισσότερα αρχεία πολυμέσων. Παρακαλώ ανατρέξτε στο αρχείο καταγραφής για λεπτομέρειες."
"Synchronization of media storages has been completed.","Συγχρονισμός των αποθηκών μέσων έχει ολοκληρωθεί."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ο Διακομιστής web έχει ρυθμιστεί εσφαλμένα και επιτρέπει την μη εξουσιοδοτημένη πρόσβαση σε ευαίσθητα αρχεία. Παρακαλώ επικοινωνήστε με τον πάροχό σας."
"System Messages:","Μηνύματα Συστήματος:"
"Critical System Messages","Κρίσιμα μηνύματα συστήματος"
"Major System Messages","Σημαντικά Μηνύματα Συστήματος"
"System messages","Μηνύματα συστήματος"
Close,Κλείσιμο
"See All (","Προβολή Όλων ("
" unread)"," μη αναγνωσμένα)"
"System Messages","Μηνύματα Συστήματος"
"Show Toolbar","Εμφάνιση γραμμής εργαλείων"
"Show List","Εμφάνιση Λίστας"
"Use HTTPS to Get Feed","Χρήση HTTPS για σπόκτηση Feed"
"Update Frequency","Συχνότητα ενημέρωσης"
"Last Update","Τελευταία Ενημέρωση"
Severity,Σοβαρότητα
"Date Added","Ημερομηνίας Προσθήκης"
Message,Μήνυμα
Actions,Ενέργειες
"Manage Shopping Cart","Διαχείριση Καλάθι Αγορών"
"Create Order","Δημιουργία παραγγελίας"
Back,Πίσω
"Add Products","Προσθέστε προϊόντα"
"Update Items and Quantities","Ενημέρωση προϊόντων και ποσότητας"
"Are you sure you want to clear your cart?","Είστε βέβαιοι ότι θέλετε να αδειάσετε το καλάθι σας;"
"Clear my shopping cart","Καθαρισμός του Καλαθιού μου"
"Add selections to my cart","Προσθήκη επιλογών στο καλάθι μου"
Cancel,Άκυρο
"Shopping Cart for %1 in %2","Καλάθι αγορών για %1 σε %2"
"Select products you want to buy","Επιλέξτε τα προϊόντα που θέλετε να αγοράσετε"
Product,Προϊόν
Price,Τιμή
Quantity,Ποσότητα
"Products in the Comparison List (%1)","Προϊόντα στη Λίστα Σύγκρισης (%1)"
"Last ordered items (%1)","Τελευταία παραγγελθέντα είδη (%1)"
Products,Προϊόντα
SKU,Κωδικός
"Recently Compared Products (%1)","Πρόσφατα Συγκριθέντα Προϊόντα (%1)"
"Recently Viewed Products (%1)","Πρόσφατες Εμφανίσεις Προϊόντων (%1)"
"Add to Shopping Cart by SKU","Προσθήκη στο Καλάθι Αγορών από Κωδικός Προϊόντος"
"Add to Shopping Cart","Προσθήκη στο καλάθι"
"Wish List (%1)","Λίστα Επιθυμιών (%1)"
Apply,Εφαρμογή
Configure,Ρύθμιση
"Add to Order by SKU","Προσθήκη στην Παραγγελία από Κωδικό Προϊόντος"
"Add to Order","Προσθήκη στην παραγγελία"
"Add Products to Order","Προσθήκη Προϊόντων στην Παραγγελία"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> προϊόν (τα) απαιτούν προσοχή.</span>"
"Remove All","Αφαίρεση όλων"
"Only %1%2%3 left in stock","Μόνο %1%2%3 έχουν μείνει στο απόθεμα"
"You can buy up to %1 of these per purchase.","Μπορείτε να αγοράσετε μέχρι %1 αυτών ανά αγορά."
"You must buy at least %1 of these per purchase.","Πρέπει να αγοράσετε τουλάχιστον %1 από αυτά ανά αγορά."
"Specify the product's options.","Καθορίστε τις επιλογές του προϊόντος."
"Alert me when this item is available.","Να λαμβάνω ειδοποιήσεις όταν αυτό το στοιχείο είναι διαθέσιμο."
"This customer couldn't be found. Verify the customer and try again.","Ο πελάτης δεν βρέθηκε. Επαληθεύστε τον πελάτη και προσπαθήστε ξανά."
"Shopping cart management is disabled for this customer.","Διαχείριση του καλαθιού αγορών είναι απενεργοποιημένη για αυτό τον πελάτη."
"This store couldn't be found. Verify the store and try again.","Το κατάστημα δεν βρέθηκε. Επαληθεύστε το κατάστημα και προσπαθήστε ξανά."
Customers,Πελάτες
"Shopping Cart",Καλάθι
"An error occurred. For details, see the error log.","Παρουσιάστηκε ένα σφάλμα. Για λεπτομέρειες, δείτε το αρχείο καταγραφής σφαλμάτων."
"You do not have access to this.","Δεν έχετε πρόσβαση σε αυτό."
"The ordered item needs to be loaded. Load the item and try again.","Το είδος της παραγγελίας πρέπει να φορτωθεί. Φορτώστε το είδος και προσπαθήστε ξανά."
"The quote item ID needs to be received. Set the ID and try again.","Το αναγνωριστικό είδους της προσφοράς πρέπει να παραληφθεί. Ορίστε το αναγνωριστικό είδους και προσπαθήστε ξανά."
"The quote item needs to be loaded. Load the item and try again.","Το είδος της προσφοράς πρέπει να φορτωθεί. Φορτώστε το είδος και προσπαθήστε ξανά."
"The wish list item ID needs to be received. Set the ID and try again.","Το αναγνωριστικό είδους της λίστας επιθυμιών πρέπει να παραληφθεί. Ορίστε το αναγνωριστικό είδους και προσπαθήστε ξανά."
"The wish list item needs to be loaded. Load the item and try again.","Το είδος της λίστας επιθυμιών πρέπει να φορτωθεί. Φορτώστε το είδος και προσπαθήστε ξανά."
"An error has occurred. See error log for details.","Προέκυψε ένα σφάλμα. Δείτε το αρχείο καταγραφής σφαλμάτων για λεπτομέρειες."
"You cannot configure a product.","Δεν μπορείτε να ρυθμίσετε ένα προϊόν."
"You removed the items.","Αφαιρέσατε τα στοιχεία."
"You removed the item.","Αφαιρέσατε το στοιχείο."
"You added %1 to your shopping cart.","Προσθέσατε %1 στο καλάθι αγορών σας."
"You cannot add a product.","Δεν μπορείτε να προσθέσετε ένα προϊόν."
"Order by SKU","Παραγγελία με βάση κωδικό προϊόντος"
"The SKU was not found in the catalog.","Το SKU δεν βρέθηκε στον κατάλογο."
"Availability: Out of stock.","Διαθεσιμότητα: Εξαντλημένο."
"We don't have as many of these as you want.","Δεν έχουμε τόσα τεμάχια όσα θέλετε."
"You can't add this many to your cart.","Δεν μπορείτε να προσθέσετε τόσο μεγάλη ποσότητα στο καλάθι σας."
"You need to choose options for your item.","Πρέπει να επιλέξετε τις επιλογές για το στοιχείο σας."
"We can't add the item to your cart.","Δεν μπορούμε να προσθέσουμε αυτό το αντικείμενο στο καλάθι σας."
"Please enter an actual number in the ""Qty"" field.","Παρακαλούμε εισάγετε ένα πραγματικό αριθμό στο πεδίο ""Qty""."
"This product is assigned to another website.","Αυτό το προϊόν έχει εκχωρηθεί σε μια άλλη ιστοσελίδα."
"You can add only enabled products.","Μπορείτε να προσθέσετε μόνο ενεργοποιημένα προϊόντα."
"You cannot upload this file.","Δεν μπορείτε να ανεβάσετε αυτό το αρχείο."
"The file is empty.","Το αρχείο είναι κενό."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Δεν έχετε εισαγάγει κωδικό προϊόντος. Παρακαλώ <a href=""%1""> κάντε κλικ εδώ για</a> να προσθέσετε προϊόν (τα) με βάση το κωδικό."
"You have not entered a product SKU.","Δεν έχετε εισαγάγει κωδικό προϊόντος."
"We can't add a product to cart by id ""%1"".","Δεν μπορούμε να προσθέσουμε ένα προϊόν στο καλάθι από την id ""%1""."
"Something went wrong while reordering this product.","Κάτι πήγε στραβά κατά την επανάληψη της παραγγελίας αυτού του προϊόντος."
"We can't find this wish list.","Δεν μπορούμε να βρούμε αυτή τη λίστα επιθυμιτών."
"You added %1 product to your shopping cart.","Προσθέσατε %1 προϊόν στο καλάθι αγορών σας."
"You added %1 products to your shopping cart.","Προσθέσατε %1 προϊόν στο καλάθι αγορών σας."
"%1 product requires your attention.","%1 προϊόν (τα) απαιτεί την προσοχή σας."
"%1 products require your attention.","%1 προϊόν (τα) απαιτεί την προσοχή σας."
"Yes, for Specified Customer Groups","Ναι, για συγκεκριμένη ομάδα πελατών"
"Yes, for Everyone","Ναι, για όλους"
No,Όχι
"The file is corrupt and can't be used.","Το αρχείο είναι κατεστραμμένο και δεν μπορεί να χρησιμοποιηθεί."
"Please upload the file in .csv format.","Παρακαλούμε να αποστείλετε το αρχείο σε μορφή .csv."
"%1 item(s) need your attention.","%1 στοιχείο(α) χρειάζεται(ονται) την προσοχή σας."
"Apply Coupon Code","Εφαρμόστε το κωδικό κουπονιού"
"Remove Coupon Code","Αφαιρέστε το κωδικό κουπονιού"
Remove,Διαγραφή
"The coupon code ""%1"" is not valid.","Ο κωδικός κουπονιού ""%1"" δεν είναι έγκυρος."
"Shopping Cart Items","Είδη Καλαθιού"
Qty,Ποσότητα
Subtotal,Υποσύνολο
Discount,Έκπτωση
"Row Subtotal","Γραμμή Υποσυνόλου"
Action,Ενέργεια
"No ordered items","Δεν έχουν παραγγελθεί είδη"
"Total %1 product(s)","Συνολικά %1 προϊον(τα)"
Subtotal:,Υποσύνολο:
"Please select","Παρακαλώ επιλέξτε"
"Move to Wish List","Μετακίνηση στη λίστα επιθυμιών"
"No item specified.","Δεν καθορίστηκε είδος."
"Are you sure you want to remove this item?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό το είδος;"
"SKU number","Αριθμός SKU"
"Upload File","Ανεβάστε αρχείο"
"Your csv file must include ""sku"" and ""qty"" columns.","Το αρχείο csv πρέπει να περιλαμβάνει τις στήλες ""Κωδικός προϊόντος"" και ""Ποσότητα""."
Reset,Επαναφορά
"SKU: ",Κωδικός:
"Only <span id=""%1_max_allowed"">%2</span> in stock","Μόνο <span id=""%1_max_allowed"">%2</span> σε απόθεμα"
Item,Είδος
"See price before order confirmation.","Δείτε την τιμή πριν από την επιβεβαίωση της παραγγελίας."
"What's this?","Τι είναι αυτό;"
"Incl. Tax","Με ΦΠΑ"
"Excl. Tax","Χωρίς ΦΠΑ"
"Edit item parameters","Επεξεργαστείτε τις παραμέτρους του στοιχείου"
Edit,Επεξεργασία
"Remove item","Αφαίρεση είδους"
"Products Requiring Attention","Προϊόντα που απαιτούν την προσοχή σας"
"Add to Cart","Προσθήκη στο Καλάθι"
Sku,"Κωδικός προϊόντος"
File,Αρχείο
"File extensions allowed: .csv","Επεκτάσεις αρχείων που επιτρέπονται: .csv"
"Add Row","Προσθήκη Γραμμής"
"Remove Row","Αφαίρεση Γραμμής"
"Add Products By SKU","Προσθέστε προϊόντα με το SKU"
"Shopping Cart Management","Διαχείριση Καλάθι Αγορών"
"View Shopping Cart","Δείτε το καλάθι αγορών"
"View and modify Shopping Cart","Προβολή και τροποποίηση Καλαθιού Αγορών"
"Order by SKU Settings","Παραγγελία με ρυθμίσεις SKU"
"Enable Order by SKU on My Account in Storefront","Ενεργοποιήσε την δυνατότητα παραγγελίας με SKU για τον λογαριασμό μου στη βιτρίνα"
"Customer Groups","Ομάδες Πελατών"
"Apply Coupon","Εφαρμογή Κουπονιού"
"Order by SKU Description","Ταξινόμιση κατά SKU Προϊόντος"
"Display a Link to Loading a Spreadsheet","Εμφανίζει ένα σύνδεσμο για την φόρτωση ένας υπολογιστικού φύλλου"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Καθορίζει κατά πόσον ένας σύνδεσμος στο ""Ο λογαριασμός μου"" &gt; σελίδα Ταξινόμιση κατά SKU θα εμφανιστεί στο γραφικό στοιχείο"
"Link Text","Σύνδεσμος κειμένου"
"The text of the link to the My Account &gt; Order by SKU page","Το κείμενο του συνδέσμου στο ""Ο λογαριασμός μου"" στην σελίδα Ταξινόμισης κατά SKU"
"Load a list of SKUs","Φορτώσετε μια λίστα με SKU"
"Order by SKU Template","Ταξινόμιση κατά SKU Προτύπου"
"Please correct the data sent.","Παρακαλώ διορθώστε τα απεσταλμένα δεδομένα."
"Entity type model '%1' is not found","Τύπος μοντέλο οντότητας '%1' δεν βρέθηκε"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Ο τύπος μοντέλου οντότητας πρέπει να είναι ένα παράδειγμα του \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Δεν Υπάρχουν τύποι προϊόντος για εξαγωγή"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","Η κλάση %1 δεν εφαρμόζει το \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Κανόνας Εκπτώσεων"
"Index sales rule","Δείκτης κανόνα εκπτώσεων"
"Related Search Terms","Σχετικοί όροι αναζήτησης"
"Add New Search Term","Προσθέστε νέο όρο αναζήτησης"
"Missing search engine parameter.","Λείπει παράμετρος μηχανής αναζήτησης."
"Successful! Test again?","Επιτυχής! Επανέλεγχος;"
"Connection failed! Test again?","Η σύνδεση απέτυχε! Επανέλεγχος;"
"Enable Search Recommendations","Ενεργοποίηση Συστάσεων Αναζήτησης"
"When you enable this option your site may slow down.","Όταν ενεργοποιείτε αυτήν την επιλογή το site σας μπορεί να επιβραδυνθεί."
"Search Recommendations Count","Καταμέτρηση προτάσεων αναζήτησης"
"Show Results Count for Each Recommendation","Προβολή Καταμέτρησης Αποτελεσμάτων για Κάθε Πρόταση Αποτελεσμάτων"
"Enable Search Suggestions","Ενεργοποιήση προτάσεων αναζήτησης"
"Search Suggestions Count","Καταμέτρηση προτάσεων αναζήτησης"
"Show Results Count for Each Suggestion","Προβολή Καταμέτρησης Αποτελεσμάτων για Κάθε Πρόταση Αποτελεσμάτων"
"Related search terms","Σχετικοί όροι αναζήτησης"
"Did you mean","Μήπως εννοείτε"
"Search Query","Ερώτημα αναζήτησης"
Store,Κατάστημα
Results,Αποτελέσματα
Uses,Χρησιμοποιεί
"Redirect URL","Διεύθυνση URL ανακατεύθυνσης"
"Suggested Term","Προτεινόμενοι Όροι"
Yes,Ναί
"RPC call failed, connection timed out after %time_out.","Η κλήση RPC απέτυχε, η σύνδεση έληξε μετά από %time_out."
"Message has been rejected: %1","Μήνυμα που απορρίφθηκε: %1"
"Error while checking if topic is synchronous","Παρουσιάστηκε σφάλμα κατά τον έλεγχο, αν το θέμα είναι σύγχρονο"
"Subscription status","Κατάσταση συνδρομής"
"Sorry, there has been an error processing your request. Please try again later.","Λυπούμαστε, υπήρξε σφάλμα κατά την επεξεργασία του αιτήματός σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"The time value is using an unsupported format. Enter a supported format and try again.","Η τιμή ώρας χρησιμοποιεί μη υποστηριζόμενη μορφή. Πληκτρολογήστε μια υποστηριζόμενη μορφή και δοκιμάστε ξανά."
"Cron settings can't be saved","Οι ρυθμίσεις Cron δεν μπορούν να αποθηκευτούν"
"There was an error save new configuration value.","Παρουσιάστηκε ένα σφάλμα κατά την αποθήκευση νέας τιμής ρύθμισης παραμέτρων."
"Please select an industry.","Επιλέξτε έναν κλάδο."
"--Please Select--","--Παρακαλώ Επιλέξτε--"
"Command ""%1"" was not found.","Η εντολή ""%1"" δεν βρέθηκε."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Τα δεδομένα δεν είναι έγκυρα. Καταχωρίστε τα δεδομένα ως συμβολοσειρά ή δεδομένα που μπορούν να μετατραπούν σε μια συμβολοσειρά και δοκιμάστε ξανά."
"The data is invalid. Enter the data as a string and try again.","Τα δεδομένα δεν είναι έγκυρα. Εισαγάγετε τα δεδομένα ως συμβολοσειρά και προσπαθήστε ξανά."
"The data is invalid. Use a valid cipher method and try again.","Τα δεδομένα δεν είναι έγκυρα. Χρησιμοποιήστε μια έγκυρη μέθοδο κρυπτογράφησης και δοκιμάστε ξανά."
"Enter the encryption key and try again.","Εισαγάγετε το κλειδί κρυπτογράφησης και δοκιμάστε ξανά."
"The ""%1"" source doesn't exist.","Η πηγή ""%1"" δεν υπάρχει."
"These arguments can't be empty ""%1""","Αυτά τα arguments δεν μπορεί να είναι άδεια»%1»"
"Cannot find predefined integration user!","Δεν είναι δυνατό να βρείτε χρήστη προκαθορισμένες ολοκλήρωσης!"
"File is not ready yet.","Το αρχείο δεν είναι έτοιμο ακόμα."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Το URL βάσης σας έχει αλλάξει και oi αναφορές σας ενημερώνονται. Οι προηγμένες αναφορές θα είναι διαθέσιμες, αφού ολοκληρωθεί αυτή η αλλαγή. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"Failed to synchronize data to the Magento Business Intelligence service. ","Αποτυχία συγχρονισμού δεδομένων στην υπηρεσία Magento Business Intelligence service. "
"Retry Synchronization","Επανάληψη Συγχρονισμού"
TestMessage,"Μήνυμα δοκιμής"
"Apps and Games","Εφαρμογές και Παιχνίδια"
"Athletic/Sporting Goods","Αθλητικά/Σπορτ αγαθά"
"Art and Design","Τέχνη και Σχεδιασμός"
"Advanced Reporting","Προηγμένες αναφορές"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Απόκτησε νέες γνώσεις και να έλεγξε τις επιδόσεις της επιχείρησης σου, χρησιμοποιώντας τις δυναμικές αναφορές προϊόντος, παραγγελίας και πελατών προσαρμοσμένες στα δεδομένα των πελατών σου."
"Go to Advanced Reporting","Πήγαινε στις προηγμένες αναφορές"
Analytics,Στατιστικά
Configuration,"Ρύθμιση παραμέτρων"
"BI Essentials","Βασικά στοιχεία για το BI"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Η υπηρεσία αυτή παρέχει μια δυναμική σουίτα με εκθέσεις με πλούσια στατιστικά στοιχεία για την επιχείρησή σας.                Μπορείτε να έχετε πρόσβαση στις αναφορές σας με ασφάλεια σε ένα εξατομικευμένο ταμπλό έξω από το admin panel, κάνοντας κλικ στον σύνδεσμο «Πηγαίνετε στις προηγμένες αναφορές». </br> για περισσότερες πληροφορίες, ανατρέξτε στο θέμα μας στους<a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">όρους και προϋποθέσεις</a>."
"Advanced Reporting Service","Υπηρεσία Προηγμένων Αναφορών"
"Time of day to send data","Ώρα της ημέρας για την αποστολή δεδομένων"
"Industry Data","Βιομηχανικά Δεδομένα"
Industry,Βιομηχανία
"In order to personalize your Advanced Reporting experience, please select your industry.","Προκειμένου να εξατομικεύσετε την εμπειρία σας των Προηγμένων Αναφορών, επιλέξτε τον κλάδο σας."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Λάβετε περισσότερες πληροφορίες από την Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Το Magento Business Intelligence σας παρέχει μια απλή και ξεκάθαρη διαδρομή
                    που γίνεται όλο και οδηγούμενη από δεδομένα.</br>Μάθετε περισσότερα σχετικά <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials και BI Pro</a>."
"Auto Parts","Ανταλλακτικά αυτοκινήτου"
"Baby/Children’s Apparel, Gear and Toys","Παιδικά ενδύματα, εργαλεία και παιχνίδια"
"Beauty and Cosmetics","Προϊόντα ομορφιάς και καλλυντικά"
"Books, Music and Magazines","Βιβλία, μουσική και περιοδικά"
"Crafts and Stationery","Χειροτεχνία και Χαρτικά"
"Consumer Electronics","Καταναλωτικά ηλεκτρονικά"
"Deal Site","Ιστοσελίδα συμφωνίας"
"Fashion Apparel and Accessories","Μόδα ένδυσης και αξεσουάρ"
"Food, Beverage and Grocery","Τρόφιμα, ποτά και είδη παντοπωλείου"
"Home Goods and Furniture","Αρχική σελίδα Προϊόντα και έπιπλα"
"Home Improvement","Βελτίωση Αρχικής σελίδας"
"Jewelry and Watches","Κοσμήματα και ρολόγια"
"Mass Merchant","Έμπορας για τις μάζες"
"Office Supplies","Προμήθειες γραφείου"
"Outdoor and Camping Gear","Κήπος και Εξαρτήματα Εξοχής"
"Pet Goods","Αγαθά κατοικιδίων"
"Pharma and Medical Devices","Φαρμακευτικές και Ιατρικές συσκευές"
"Technology B2B","Τεχνολογία B2B"
Other,Άλλο
Done,Επιτυχής
Retry,Επανάληψη
"'Action Details - #' .","'Λεπτομέρειες Ενεργειών - #' ."
"%1 item(s) have been scheduled for update.""","%1 στοιχείο(α) έχουν προγραμματιστεί για ενημέρωση."""
"Bulk Actions Log","Αρχείο Καταγραφής Μαζικών Ενεργειών"
"Bulk uuid %bulkUuid not exist","Μαζικό uuid %bulkUuid δεν υπάρχει"
"Topic %1","Θέμα %1"
"Something went wrong while processing the request.","Κάτι πήγε στραβά κατά την επεξεργασία της αίτησης."
"Error processing %key element of input data","Σφάλμα επεξεργασίας στοιχείου %key δεδομένων εισαγωγής"
"Sorry, something went wrong during product prices update. Please see log for details.","Λυπούμαστε, κάτι πήγε λάθος κατά την ενημέρωση τιμών προϊόντος. Παρακαλούμε δείτε αρχείο καταγραφής για λεπτομέρειες."
"%1 item(s) are currently being updated.","%1 στοιχείο(α) ενημερώνονται επί του παρόντος."
"Task ""%1"": ","Εργασία ""%1"": "
"%1 item(s) have been scheduled for update.","%1 στοιχείο(α) έχουν προγραμματιστεί για ενημέρωση."
"%1 item(s) have been successfully updated.","%1 στοιχείο(α) έχουν ενημερωθεί με επιτυχία."
"%1 item(s) failed to update","%1 στοιχείο(α) απέτυχαν να ενημερωθούν"
Details,Λεπτομέρειες
"View Details","Προβολή Λεπτομερειών"
Dismiss,Ματαίωση
"Pending, in queue...","Σε εκκρεμότητα, στην ουρά..."
"%1 items selected for mass update","%1 αντικείμενα επιλεγμένα για μαζική ενημέρωση"
", %1 successfully updated",", %1 ενημερώθηκε με επιτυχία"
", %1 failed to update",", %1 απέτυχε να ενημερωθεί"
"Something went wrong.","Κάτι πήγε στραβά."
"Action Log","Αρχείο καταγραφής ενεργειών"
Report,Αναφορά
"Bulk Actions","Μαζικές Ενέργειες"
"Action Logs","Αρχείο Καταγραφής Ενεργειών"
"Days Saved in Log","Ημέρες Αποθηκεύτηκαν στο Αρχείο Καταγραφής"
"Description of Operation","Περιγραφή της Λειτουργίας"
Summary,Περίληψη
"Start Time","Ώρα Έναρξης"
"Items to Retry","Στοιχεία για Επανάληψη"
"To retry, select the items and click “Retry”.","Για να επαναλάβετε, επιλέξτε τα στοιχεία και κάντε κλικ στο κουμπί ""Επανάληψη""."
"Items That Can’t Be Updated.","Στοιχεία Που Δεν μπορούν να Ενημερωθούν."
Status,Κατάσταση
"Meta Information","Meta Πληροφορίες"
Error,Σφάλμα
"Dismiss All Completed Tasks","Απορρίψτε Όλες τις Ολοκληρωμένες Εργασίες"
"Action Details - #","Λεπτομέρειες Ενεργειών - #"
"Number of Records Affected","Αριθμός των Εγγραφών που Επηρεάζονται"
